										
권리사 지역	권리사	권리사 유형	유통사분류	유통사	아티스트분류	아티스트	 음원명 	 곡수 	 2022년 	 2023년 
 국내 	 KOZ 엔터테인먼트 	 권리사 단독 	 YG PLUS 	 YG PLUS 	 아이돌 	 지코 (ZICO) 	 SEOUL DRIFT 	 1 	 1 	
 국내 	 KOZ 엔터테인먼트 	 권리사 단독 	 YG PLUS 	 YG PLUS 	 아이돌 	 지코 (ZICO) 	 괴짜 (Freak) 	 1 	 1 	
 국내 	 KQ Entertainment 	 권리사 단독 	CJ ENM(지니뮤직)	CJ ENM(지니뮤직)	아이돌	 ATEEZ (에이티즈) 	 BOUNCY (K-HOT CHILLI PEPPERS) 	 1 		 1 
 국내 	 MAGIC STRAWBERRY SOUND, H1GHR MUSIC RECORDS 	 권리사 다수 	 카카오엔터 	 카카오엔터 	 非아이돌 	 10cm, BIG Naughty (서동현) 	 딱 10CM만 	 1 	 1 	 1 
 국내 	 MAKTUB Company 	 권리사 단독 	 해외직배사 	 Warner Music 	 非아이돌 	 마크툽 (Maktub) 	 오늘도 빛나는 너에게 (To You My Light) (Feat.이라온) 	 1 	 1 	 1 
 국내 	 MAKTUB Company 	 권리사 단독 	 해외직배사 	 Warner Music 	 非아이돌 	 마크툽 (Maktub) 	 찰나가 영원이 될 때 (The Eternal Moment) 	 1 	 1 	 1 
 국내 	 MBC 	 권리사 단독 	CJ ENM(지니뮤직)	CJ ENM(지니뮤직)	非아이돌	 주주 시크릿 	 밤이 무서워요 (Lonely Night) 	 1 		 1 
 국내 	 MBC 	 권리사 단독 	 NHN벅스 	 NHN벅스 	 非아이돌 	 김필 	 다시 사랑한다면 (니글니글 버터플라이) 	 1 	 1 	 1 
 국내 	 MBC 	 권리사 단독 	 드림어스 	 드림어스 	 非아이돌 	 토요태 	 Still I Love You 	 1 	 1 	
 국내 	 MBC 	 권리사 단독 	 카카오엔터 	 카카오엔터 	 非아이돌 	 WSG워너비 (오아시소) 	 Clink Clink (클링 클링) 	 1 	 1 	
 국내 	 MBC 	 권리사 단독 	 카카오엔터 	 카카오엔터 	 非아이돌 	 WSG워너비 조별경연 (대청봉) 	 YOU AND I 	 1 	 1 	
 국내 	 MBC 	 권리사 단독 	 카카오엔터 	 카카오엔터 	 非아이돌 	 WSG워너비 (가야G) 	 그때 그 순간 그대로 (그그그) 	 1 	 1 	 1 
 국내 	 MBC 	 권리사 단독 	 카카오엔터 	 카카오엔터 	 非아이돌 	 WSG워너비 	 눈을 감으면 	 1 	 1 	
 국내 	 MBC 	 권리사 단독 	 카카오엔터 	 카카오엔터 	 非아이돌 	 싹쓰리 	 다시 여기 바닷가 	 1 	 1 	
 국내 	 MBC 	 권리사 단독 	 카카오엔터 	 카카오엔터 	 非아이돌 	 WSG워너비 (4FIRE) 	 보고싶었어 	 1 	 1 	 1 
 국내 	 MBC 	 권리사 단독 	 카카오엔터 	 카카오엔터 	 非아이돌 	 WSG워너비 조별경연 (비로봉) 	 사랑의 인사 	 1 	 1 	
 국내 	 MBC 	 권리사 단독 	 카카오엔터 	 카카오엔터 	 非아이돌 	 WSG워너비 	 어마어마해 	 1 	 1 	
 국내 	 MNH Entertainment 	 권리사 단독 	CJ ENM(지니뮤직)	CJ ENM(지니뮤직)	아이돌	 청하 	 Sparkling 	 1 	 1 	
 국내 	 MORE VISION 	 권리사 단독 	 카카오엔터 	 카카오엔터 	 非아이돌 	 박재범 	 Candy (Feat. Zion.T) 	 1 		 1 
 국내 	 MORE VISION 	 권리사 단독 	 카카오엔터 	 카카오엔터 	 非아이돌 	 박재범 	 GANADARA (Feat. 아이유) 	 1 	 1 	 1 
 국내 	 MORE VISION 	 권리사 단독 	 카카오엔터 	 카카오엔터 	 非아이돌 	 박재범 	 Yesterday 	 1 		 1 
 국내 	 NCSOFT 	 권리사 단독 	 지니뮤직 	 지니뮤직 	 非아이돌 	 개코 	 새벽을 믿지 말자 	 1 	 1 	
 국내 	 NEOKIDZ 	 권리사 단독 	 YG PLUS 	 YG PLUS 	 非아이돌 	 디핵 (D-Hack), PATEKO(파테코) 	 OHAYO MY NIGHT 	 1 	 1 	 1 
 국내 	 NEW C.C.C. 	 권리사 단독 	 카카오엔터 	 카카오엔터 	 非아이돌 	 경서예지, 차가을 	 Timeless 	 1 	 1 	
 국내 	 NHN벅스 	 권리사 단독 	 NHN벅스 	 NHN벅스 	 非아이돌 	 프리스타일 (Free Style) 	 Y (Please Tell Me Why) 	 1 	 1 	
 국내 	 NK Company 	 권리사 단독 	CJ ENM(지니뮤직)	CJ ENM(지니뮤직)	非아이돌	 MSG워너비(M.O.M) 	 듣고 싶을까 	 1 	 1 	 1 
 국내 	 ODRP 	 권리사 단독 	 지니뮤직 	 지니뮤직 	 非아이돌 	 임한별 	 이별한 이유가 너무 아파 	 1 	 1 	
 국내 	 ODRP 	 권리사 단독 	 지니뮤직 	 지니뮤직 	 非아이돌 	 먼데이 키즈 (Monday Kiz) 	 추억 일기 	 1 	 1 	
 국내 	 OUTLIVE, MAINSTREAM 	 권리사 다수 	 카카오엔터 	 카카오엔터 	 非아이돌 	 래원 (Layone), 이영지 	 프리지아 	 1 	 1 	
 국내 	 PLAYLIST 	 권리사 단독 	CJ ENM(지니뮤직)	CJ ENM(지니뮤직)	非아이돌	 헤이즈 (Heize) 	 비가 오는 날엔 (2021) 	 1 	 1 	
 국내 	 RBW 	 권리사 단독 	 드림어스 	 드림어스 	 아이돌 	 카라 (KARA) 	 WHEN I MOVE 	 1 	 1 	 1 
 국내 	 RBW 	 권리사 단독 	 카카오엔터 	 카카오엔터 	 非아이돌 	 마마무(Mamamoo) 	 ILLELLA (일낼라) 	 1 	 1 	
 국내 	 SBS 콘텐츠허브 	 권리사 단독 	 카카오엔터 	 카카오엔터 	 非아이돌 	 성시경 	 너의 모든 순간 	 1 	 1 	 1 
 국내 	 SLL 	 권리사 단독 	 해외직배사 	 Warner Music 	 非아이돌 	 경서 	 Wonder Why 	 1 		 1 
 국내 	 SLL 	 권리사 단독 	 해외직배사 	 Warner Music 	 非아이돌 	 BIG Naughty (서동현) 	 손을 마주 잡고 	 1 		 1 
 국내 	 SM Entertainment 	 권리사 단독 	 지니뮤직 	 지니뮤직 	 아이돌 	 EXO 	 첫 눈 	 1 	 1 	 1 
