날짜	년도	곡수	순위	곡 코드	음원명	아티스트명	앨범명	발매일	발매년도	장르_세부	장르	유통사명	기획사명
2022-12-18	2022년	1	204	99512835	발자국 (Walk With You)	NCT DREAM	Candy - Winter Special Mini Album	2022-12-16	2022년	댄스	가요	(주)드림어스컴퍼니(국내)	SM ENTERTAINMENT
2022-12-18	2022년	1	205	81103077	STEP	카라 (KARA)	STEP (KARA 3rd Album)	2011-09-06	이전발매	전체	가요	주식회사 카카오엔터테인먼트	DSP 미디어
2022-12-18	2022년	1	206	89290354	Dance Monkey	Tones And I	The Kids Are Coming	2019-08-29	이전발매	락	POP	워너뮤직코리아(주)(해외)	Elektra (NEK)
2022-12-18	2022년	1	207	89859975	마음을 드려요	아이유 (IU)	사랑의 불시착 OST Part 11 (tvN 토일 드라마)	2020-02-15	이전발매	드라마	OST	주식회사 카카오엔터테인먼트	EDAM엔터테인먼트
2022-12-18	2022년	1	208	99187331	내 세상은 너로 가득해	탑현	내 세상은 너로 가득해	2022-11-27	2022년	발라드	가요	주식회사 카카오엔터테인먼트	레이벡스
2022-12-18	2022년	1	209	93851056	낙하 (With 아이유)	AKMU (악뮤)	NEXT EPISODE	2021-07-26	이전발매	락	가요	(주)와이지플러스	YG Entertainment
2022-12-18	2022년	1	210	96928174	Girls	aespa	Girls - The 2nd Mini Album	2022-07-08	2022년	댄스	가요	(주)드림어스컴퍼니(국내)	SM ENTERTAINMENT
2022-12-18	2022년	1	211	82593715	I'm Not The Only One	Sam Smith	In The Lonely Hour (Standard Edition)	2014-05-27	이전발매	팝	POP	(주)유니버설뮤직(해외)	Universal Music Ltd.
2022-12-18	2022년	1	212	16150152	Monologue	버즈 (Buzz)	Morning Of Buzz	2003-10-10	이전발매	락	가요	주식회사 벅스(BUGS Corporation)	예전미디어
2022-12-18	2022년	1	213	90947953	Lovesick Girls	BLACKPINK	THE ALBUM	2020-10-02	이전발매	댄스	가요	(주)와이지플러스	(주)YG엔터테인먼트
